Eugène,Didier,Biarritz,France,2017,PHP
Benoît,Descamps,Biarritz,France,2017,PHP
Robert,Delorme,Biarritz,France,2017,PHP
Charlotte,Tanguy,Biarritz,France,2017,PHP
Dominique,Briand,Biarritz,France,2017,PHP
Dominique,Guyot,Biarritz,France,2017,PHP
Jérôme,Hoarau,Biarritz,France,2017,PHP
Martine,Bailly,Biarritz,France,2018,PHP
Timothée,Gaudin,Biarritz,France,2018,PHP
Agnès,Robin,Biarritz,France,2018,PHP
Noël,Marechal,Biarritz,France,2018,PHP
Christophe,Deschamps,Biarritz,France,2018,PHP
Susanne,Rousseau,Biarritz,France,2018,PHP
Laure,Gaudin,Biarritz,France,2019,PHP
Inès,Descamps,Biarritz,France,2019,PHP
Roger,Normand,Biarritz,France,2019,PHP
Élisabeth,Laporte,Biarritz,France,2019,PHP
Laurent,"Le Roux",Biarritz,France,2019,PHP
Zacharie,Lenoir,Bordeaux,France,2017,PHP
Charlotte,Bouvet,Bordeaux,France,2017,PHP
Dominique,Bourdon,Bordeaux,France,2017,PHP
Alphonse,Samson,Bordeaux,France,2017,PHP
Benjamin,Schmitt,Bordeaux,France,2017,PHP
Nath,Diallo,Bordeaux,France,2017,PHP
Louis,Camus,Bordeaux,France,2017,PHP
Thierry,Garcia,Bordeaux,France,2017,PHP
Nathalie,Paris,Bordeaux,France,2017,PHP
Emmanuelle,Hernandez,Bordeaux,France,2017,PHP
David,Leger,Bordeaux,France,2017,PHP
Frédérique,Moulin,Bordeaux,France,2018,PHP
Hélène,Vincent,Bordeaux,France,2018,PHP
David,Dupuis,Bordeaux,France,2018,PHP
Inès,Gimenez,Bordeaux,France,2018,PHP
Benjamin,Labbe,Bordeaux,France,2018,PHP
Éric,Pages,Bordeaux,France,2018,PHP
Thérèse,Charrier,Bordeaux,France,2018,PHP
Noël,Martin,Bordeaux,France,2018,PHP
Roland,Gros,Bordeaux,France,2018,PHP
Alexandrie,Costa,Bordeaux,France,2018,PHP
Emmanuel,Weiss,Bordeaux,France,2018,PHP
Théophile,Blanc,Bordeaux,France,2019,PHP
Julie,Charrier,Bordeaux,France,2019,PHP
Élodie,Moreau,Bordeaux,France,2019,PHP
Renée,Guilbert,Bordeaux,France,2019,PHP
Margot,Maillard,Bordeaux,France,2019,PHP
Eugène,Garnier,"La Loupe",France,2017,PHP
Louis,Brun,"La Loupe",France,2017,PHP
Marc,Lombard,"La Loupe",France,2017,PHP
Roger,Bonnet,"La Loupe",France,2017,PHP
Charlotte,Hubert,"La Loupe",France,2017,PHP
Bertrand,Gerard,"La Loupe",France,2017,PHP
Sabine,Cousin,"La Loupe",France,2017,PHP
Jacqueline,Cordier,"La Loupe",France,2018,PHP
Bertrand,Leveque,"La Loupe",France,2018,PHP
Aurélie,Dupuis,"La Loupe",France,2018,PHP
Patricia,Boyer,"La Loupe",France,2018,PHP
Raymond,Normand,"La Loupe",France,2018,PHP
Marie,Mahe,"La Loupe",France,2018,PHP
Camille,Marchal,"La Loupe",France,2018,PHP
David,Masson,"La Loupe",France,2018,PHP
Patricia,Courtois,"La Loupe",France,2018,PHP
Luc,Pires,"La Loupe",France,2018,PHP
Élise,Samson,"La Loupe",France,2018,PHP
Victoire,Wagner,"La Loupe",France,2019,PHP
Patricia,David,"La Loupe",France,2019,PHP
André,Joly,"La Loupe",France,2019,PHP
Laurent,Merle,"La Loupe",France,2019,PHP
Camille,Berger,"La Loupe",France,2019,PHP
Michèle,Chevalier,"La Loupe",France,2019,PHP
Rémy,Perret,"La Loupe",France,2019,PHP
Hortense,Guerin,"La Loupe",France,2019,PHP
Alphonse,Morvan,"La Loupe",France,2019,PHP
Benoît,Marty,"La Loupe",France,2019,PHP
Denis,Pottier,"La Loupe",France,2019,PHP
Thomas,"Le Roux",Lille,France,2017,PHP
Théodore,Barbe,Lille,France,2017,PHP
André,Guyon,Lille,France,2017,PHP
Robert,Bodin,Lille,France,2017,PHP
Michèle,"De Oliveira",Lille,France,2017,PHP
Robert,Dupuy,Lille,France,2017,PHP
Roger,Clerc,Lille,France,2017,PHP
Tristan,Renault,Lille,France,2017,PHP
Éric,Giraud,Lille,France,2017,PHP
Odette,Robert,Lille,France,2017,PHP
Rémy,Auger,Lille,France,2018,PHP
Adèle,Dupuy,Lille,France,2018,PHP
Capucine,Legrand,Lille,France,2018,PHP
Emmanuel,David,Lille,France,2018,PHP
Arthur,Vidal,Lille,France,2018,PHP
Tristan,Dumas,Lille,France,2018,PHP
Henri,Olivier,Lille,France,2018,PHP
Nathalie,Munoz,Lille,France,2018,PHP
William,Valette,Lille,France,2018,PHP
Hortense,Goncalves,Lille,France,2019,PHP
Nath,Remy,Lille,France,2019,PHP
Gabriel,Lelievre,Lille,France,2019,PHP
Auguste,Gillet,Lille,France,2019,PHP
Daniel,Lombard,Lille,France,2019,PHP
Xavier,Bazin,Lille,France,2019,PHP
Madeleine,Alexandre,Lyon,France,2017,PHP
Lucas,Navarro,Lyon,France,2017,PHP
Marcel,Meyer,Lyon,France,2017,PHP
Martin,Gregoire,Lyon,France,2017,PHP
Victor,Boyer,Lyon,France,2017,PHP
Patrick,Evrard,Lyon,France,2017,PHP
Laetitia,Leduc,Lyon,France,2017,PHP
Marguerite,Salmon,Lyon,France,2017,PHP
Robert,Thierry,Lyon,France,2017,PHP
Marguerite,Aubert,Lyon,France,2017,PHP
Marc,Leveque,Lyon,France,2017,PHP
Noémi,Schneider,Lyon,France,2017,PHP
Bertrand,Jacques,Lyon,France,2018,PHP
Noémi,Hamon,Lyon,France,2018,PHP
Corinne,Maury,Lyon,France,2018,PHP
Jacques,Payet,Lyon,France,2018,PHP
Eugène,Carpentier,Lyon,France,2018,PHP
Colette,Pinto,Lyon,France,2018,PHP
Olivie,Joly,Lyon,France,2018,PHP
Marcel,Royer,Lyon,France,2018,PHP
René,Moreau,Lyon,France,2019,PHP
Gérard,Boutin,Lyon,France,2019,PHP
Arnaude,Charpentier,Lyon,France,2019,PHP
Françoise,Normand,Lyon,France,2019,PHP
Honoré,Gerard,Lyon,France,2019,PHP
Émile,Michel,Lyon,France,2019,PHP
Julie,Allain,Lyon,France,2019,PHP
Yves,Herve,Lyon,France,2019,PHP
Caroline,Vaillant,Lyon,France,2019,PHP
Hélène,Bourgeois,Marseille,France,2017,PHP
Michelle,Riou,Marseille,France,2017,PHP
Gérard,Boulanger,Marseille,France,2017,PHP
Hugues,Lefevre,Marseille,France,2017,PHP
Thibault,Bazin,Marseille,France,2017,PHP
Honoré,Michel,Marseille,France,2017,PHP
Brigitte,Cousin,Marseille,France,2017,PHP
Pierre,Bonnin,Marseille,France,2017,PHP
Étienne,Lemonnier,Marseille,France,2017,PHP
Christophe,Boulay,Marseille,France,2017,PHP
Emmanuel,"De Sousa",Marseille,France,2018,PHP
Arnaude,Loiseau,Marseille,France,2018,PHP
Sylvie,Lemaitre,Marseille,France,2018,PHP
Théophile,Dupont,Marseille,France,2018,PHP
Yves,Gautier,Marseille,France,2018,PHP
Vincent,Hardy,Marseille,France,2018,PHP
Alain,Martinez,Marseille,France,2018,PHP
Philippine,Tessier,Marseille,France,2018,PHP
Margaux,Besson,Marseille,France,2019,PHP
Daniel,Joly,Marseille,France,2019,PHP
Sylvie,Duval,Marseille,France,2019,PHP
Margot,Gomez,Marseille,France,2019,PHP
Caroline,Moreno,Marseille,France,2019,PHP
Laure,Chretien,Marseille,France,2019,PHP
Benjamin,Gilbert,Marseille,France,2019,PHP
Maurice,Remy,Marseille,France,2019,PHP
Pauline,Valentin,Marseille,France,2019,PHP
Hugues,Dumont,Marseille,France,2019,PHP
Claudine,Couturier,Marseille,France,2019,PHP
Alix,Maillet,Nantes,France,2017,PHP
Catherine,Sauvage,Nantes,France,2017,PHP
Marianne,Evrard,Nantes,France,2017,PHP
Maryse,Jacques,Nantes,France,2017,PHP
Andrée,Pelletier,Nantes,France,2017,PHP
Gabrielle,Giraud,Nantes,France,2017,PHP
Luc,"Le Roux",Nantes,France,2017,PHP
Jules,Leclerc,Nantes,France,2017,PHP
Monique,Hoarau,Nantes,France,2017,PHP
Alice,Carpentier,Nantes,France,2018,PHP
Margot,Lesage,Nantes,France,2018,PHP
Denise,Voisin,Nantes,France,2018,PHP
Mathilde,Leroux,Nantes,France,2018,PHP
Patricia,Parent,Nantes,France,2018,PHP
Michel,Laine,Nantes,France,2018,PHP
Marguerite,Blanc,Nantes,France,2019,PHP
Élodie,Carlier,Nantes,France,2019,PHP
Grégoire,Coste,Nantes,France,2019,PHP
Victor,Toussaint,Nantes,France,2019,PHP
Alain,Boutin,Nantes,France,2019,PHP
Nathalie,Lopez,Nantes,France,2019,PHP
Nathalie,Hebert,Nantes,France,2019,PHP
Antoine,Delmas,Nantes,France,2019,PHP
Léon,Poirier,Nantes,France,2019,PHP
Bernard,Ledoux,Orleans,France,2017,PHP
Grégoire,Gaillard,Orleans,France,2017,PHP
Frédérique,Marchand,Orleans,France,2017,PHP
Alex,Mendes,Orleans,France,2017,PHP
Arthur,Paris,Orleans,France,2017,PHP
Claudine,Morin,Orleans,France,2017,PHP
Pénélope,Dupuis,Orleans,France,2017,PHP
Lucy,Devaux,Orleans,France,2018,PHP
Stéphanie,Briand,Orleans,France,2018,PHP
Arthur,Peron,Orleans,France,2018,PHP
Caroline,Marin,Orleans,France,2018,PHP
Lorraine,Rousseau,Orleans,France,2018,PHP
Franck,Leclerc,Orleans,France,2018,PHP
Marthe,Foucher,Orleans,France,2018,PHP
Franck,Giraud,Orleans,France,2018,PHP
Nicolas,Dubois,Orleans,France,2019,PHP
Jeanne,Gonzalez,Orleans,France,2019,PHP
Christine,Leclerc,Orleans,France,2019,PHP
Isabelle,Marin,Orleans,France,2019,PHP
Suzanne,Pages,Orleans,France,2019,PHP
Anaïs,Blondel,Orleans,France,2019,PHP
Maurice,Moreno,Orleans,France,2019,PHP
Capucine,Bertin,Paris,France,2017,PHP
Paul,Vidal,Paris,France,2017,PHP
Nicolas,Jacques,Paris,France,2017,PHP
Stéphane,Goncalves,Paris,France,2017,PHP
Agathe,Colin,Paris,France,2017,PHP
Adèle,Lefort,Paris,France,2017,PHP
Manon,Dufour,Paris,France,2017,PHP
Roland,Gauthier,Paris,France,2017,PHP
Nathalie,Simon,Paris,France,2018,PHP
Patrick,Leduc,Paris,France,2018,PHP
Christelle,Raynaud,Paris,France,2018,PHP
François,Klein,Paris,France,2018,PHP
Hélène,Bonneau,Paris,France,2018,PHP
Nathalie,Delahaye,Paris,France,2018,PHP
Arthur,Lemaire,Paris,France,2018,PHP
Denise,Levy,Paris,France,2019,PHP
Catherine,Nicolas,Paris,France,2019,PHP
Hortense,Vaillant,Paris,France,2019,PHP
Émile,Garcia,Paris,France,2019,PHP
Clémence,Traore,Paris,France,2019,PHP
Emmanuel,Petitjean,Reims,France,2017,PHP
Sylvie,David,Reims,France,2017,PHP
Sabine,Valentin,Reims,France,2017,PHP
Hugues,Marty,Reims,France,2017,PHP
Robert,Gerard,Reims,France,2017,PHP
Gilles,Imbert,Reims,France,2017,PHP
Alix,Bourgeois,Reims,France,2017,PHP
